"Displayname","Description","State","ID","createdDateTime","ModifiedDateTime","UserIncludeUsers","UserExcludeUsers","UserIncludeGroups","UserExcludeGroups","ConditionSignInRiskLevels","ConditionClientAppTypes","PlatformIncludePlatforms","PlatformExcludePlatforms","DeviceStateIncludeStates","DeviceStateExcludeStates","ApplicationIncludeApplications","ApplicationExcludeApplications","ApplicationIncludeUserActions","LocationIncludeLocations","LocationExcludeLocations","GrantControlBuiltInControls","GrantControlTermsOfUse","GrantControlOperator","GrantControlCustomAuthenticationFactors","ApplicationEnforcedRestrictions","CloudAppSecurityCloudAppSecurityType","CloudAppSecurityIsEnabled","PersistentBrowserIsEnabled","PersistentBrowserMode","SignInFrequencyIsEnabled","SignInFrequencyType","SignInFrequencyValue"
"Always perform MFA for guest users",,"enabled","5b28dc9c-917e-4003-9f06-7d2c830c531b","25/08/2021 08:19:09","28/10/2021 08:42:32","GuestsOrExternalUsers","Not Configured","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Block access by location",,"enabled","1fb93923-5f46-44f4-b85a-5d5231a4438f","09/07/2021 22:44:12","28/10/2021 08:41:03","All","Not Configured","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Blocked locations","Not Configured","block","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Block legacy authentication",,"enabled","78bd0e98-a7c6-44ad-8fd4-fe6bf63425dd","09/07/2021 22:24:37","28/10/2021 08:39:36","All","Not Configured","Not Configured","Not Configured","Not Configured","exchangeActiveSync,other","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","block","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Combined Security Info Registration on Trusted Networks",,"enabled","9a8633cb-7954-4a02-ab6e-0309c9f0beaa","09/07/2021 22:41:31","28/10/2021 08:40:54","All","Not Configured","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","Not Configured","Not Configured","urn:user:registersecurityinfo","All","","block","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Combined Security Info Registration with TAP",,"enabled","2c653222-7a65-4d1c-b816-48ee8479d1bd","09/07/2021 22:40:24","28/10/2021 08:40:44","All","Not Configured","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","Not Configured","Not Configured","urn:user:registersecurityinfo","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"GA Sign-in Risk",,"enabled","f33c5494-d2a7-4bda-955e-10056f437e37","09/07/2021 22:52:33","28/10/2021 08:32:32","Not Configured","Not Configured","Not Configured","Break Glass","high,medium","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","block","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Guest Users ToU CA Policy",,"enabled","654b32cb-be38-4a28-8720-6f292c8fe3ab","25/08/2021 08:25:07","28/10/2021 08:32:56","GuestsOrExternalUsers","Not Configured","Not Configured","Not Configured","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","71827c0e-f279-4098-9f64-4f6c2b9d7950","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Internal Users ToU CA Policy",,"enabled","b7658b7b-f4e3-4c69-8b88-e0659676085a","24/08/2021 22:04:57","28/10/2021 08:42:15","All","GuestsOrExternalUsers","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","08e5b799-2b47-475d-9fdd-2fc20ebe6069","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"On-premises app policy",,"enabled","df94317c-76af-4573-9ce3-03ea4a0316a2","24/08/2021 11:02:32","28/10/2021 08:32:37","Not Configured","Not Configured","On-premises Apps Users","Not Configured","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report",",,","Not Configured","Not Configured","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Require MFA for administrators",,"enabled","95f57ca9-7c2e-4bea-9c9c-4dc4b0822c6f","09/07/2021 22:27:41","28/10/2021 08:39:46","Not Configured","Not Configured","Not Configured","Break Glass","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
