"Displayname";"Description";"State";"ID";"createdDateTime";"ModifiedDateTime";"UserIncludeUsers";"UserExcludeUsers";"DirectoryRolesInclude";"DirectoryRolesExclude";"UserIncludeGroups";"UserExcludeGroups";"ConditionUserRiskLevels";"ConditionSignInRiskLevels";"ConditionInsiderRiskLevels";"ConditionClientAppTypes";"PlatformIncludePlatforms";"PlatformExcludePlatforms";"DevicesFilterStatesMode";"DevicesFilterStatesRule";"ApplicationIncludeApplications";"ApplicationExcludeApplications";"ApplicationIncludeUserActions";"LocationIncludeLocations";"LocationExcludeLocations";"GrantControlBuiltInControls";"GrantControlTermsOfUse";"GrantControlOperator";"GrantControlCustomAuthFactors";"AppEnforcedRestrictions";"CloudAppSecurityType";"CloudAppSecurityIsEnabled";"PersistentBrowserIsEnabled";"PersistentBrowserMode";"SignInFrequencyIsEnabled";"SignInFrequencyType";"SignInFrequencyValue"
"Block access to Office365 apps for users with insider risk";;"enabledForReportingButNotEnforced";"5dab844d-52ec-4a1d-a508-97ac869a1b9f";"28/02/2025 08:46:09";"Null";"All";"admin@MngEnvMCAP000469.onmicrosoft.com";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"elevated";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Office365";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"block";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
"CA001-RequireMFAComplianceSensitiveApps";;"disabled";"9f54fc3d-e539-44ca-be10-0ce1bfc21de2";"05/12/2024 13:43:51";"Null";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa,compliantDevice";"Not Configured";"AND";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
"Multifactor authentication for Microsoft partners and vendors";;"enabled";"053677d2-72a6-46b9-92a0-54fb803a15f3";"27/09/2024 00:36:19";"Null";"All";"Not Configured";"Not Configured";"Directory Synchronization Accounts";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
"MyApps";;"disabled";"bba2f864-6de8-48a2-9cdc-62e9318c8612";"29/11/2024 08:34:46";"07/02/2025 11:20:51";"All";"admin@MngEnvMCAP000469.onmicrosoft.com";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"True";"Not Configured";"Not Configured"
"Reauthentication on signin risk for Microsoft partners and vendors";;"enabled";"e2fc48e8-3ebc-4290-a2d6-86de167d22f6";"27/09/2024 00:36:22";"Null";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"high,medium,low";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"True";"Not Configured";"Not Configured"
"Require password change for high-risk users";;"disabled";"dc04908a-5ade-4b11-9ca8-e1609ba87deb";"11/02/2025 09:02:09";"Null";"All";"admin@MngEnvMCAP000469.onmicrosoft.com";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"high";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa,passwordChange";"Not Configured";"AND";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"True";"Not Configured";"Not Configured"
"Require password change for high-risk users";;"enabledForReportingButNotEnforced";"ad9e07b5-b595-41c7-960b-92c17dc5f09b";"28/02/2025 08:45:53";"Null";"All";"admin@MngEnvMCAP000469.onmicrosoft.com";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"high";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa,passwordChange";"Not Configured";"AND";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"True";"Not Configured";"Not Configured"
"Require phishing-resistant multifactor authentication for admins";;"disabled";"c7a34693-93b6-4a71-8a3a-d4014b3ae739";"05/12/2024 13:59:20";"Null";"Not Configured";"admin@MngEnvMCAP000469.onmicrosoft.com";"Global Administrator,Security Administrator,SharePoint Administrator,Exchange Administrator,Conditional Access Administrator,Helpdesk Administrator,Billing Administrator,User Administrator,Authentication Administrator,Application Administrator,Cloud Application Administrator,Password Administrator,Privileged Authentication Administrator,Privileged Role Administrator";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
"Secure password change on high user risk for Microsoft partners and vendors";;"enabled";"1880faaa-8abf-4a0c-89e1-270bbad2096e";"27/09/2024 00:36:26";"Null";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"high";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"All";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"mfa,passwordChange";"Not Configured";"AND";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
"Securing security info registration";;"disabled";"1054f860-c6d8-4d93-8aec-99ee89a8ac15";"04/10/2024 13:47:51";"Null";"All";"GuestsOrExternalUsers,admin@MngEnvMCAP000469.onmicrosoft.com";"Not Configured";"Global Administrator";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"all";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"urn:user:registersecurityinfo";"All";"AllTrusted";"mfa";"Not Configured";"OR";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured";"Not Configured"
